rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;14.692871;15.902824;16.364014
build/stencil_sequential/sequential_benchmark_one_vector;1;14.922119;15.088696;15.542969
build/stencil_mpi/mpi_benchmark_sendrecv;1;14.752150;22.949123;55.553198
build/stencil_mpi/mpi_benchmark_sendrecv;2;6.476164;8.149838;30.548096
build/stencil_mpi/mpi_benchmark_sendrecv;4;3.173113;4.035441;15.341997
build/stencil_mpi/mpi_benchmark_sendrecv;8;1.928091;2.104028;6.051064
build/stencil_mpi/mpi_benchmark_sendrecv;10;1.873016;2.025549;5.143881
build/stencil_mpi/mpi_benchmark_sendrecv;12;1.883984;2.121425;4.539013
build/stencil_mpi/mpi_benchmark_sendrecv;16;1.307964;1.423065;3.269196
build/stencil_mpi/mpi_benchmark_sendrecv;20;0.591040;0.912333;2.637148
build/stencil_mpi/mpi_benchmark_sendrecv;24;0.501156;0.652377;4.306078
build/stencil_mpi/mpi_benchmark_sendrecv;32;0.345945;0.409134;1.766205
build/stencil_mpi/mpi_benchmark_sendrecv;36;0.314236;0.434621;1.565933
build/stencil_mpi/mpi_benchmark_sendrecv;40;0.271082;0.505352;1.543045
build/stencil_mpi/mpi_benchmark_sendrecv;48;0.316143;0.578014;2.435923
build/stencil_mpi/mpi_benchmark_nonblocking;1;15.101910;22.899437;55.518866
build/stencil_mpi/mpi_benchmark_nonblocking;2;6.598949;8.253789;30.755997
build/stencil_mpi/mpi_benchmark_nonblocking;4;3.189802;4.051622;15.413046
build/stencil_mpi/mpi_benchmark_nonblocking;8;1.312017;1.498882;6.001949
build/stencil_mpi/mpi_benchmark_nonblocking;10;1.235962;1.410246;5.060911
build/stencil_mpi/mpi_benchmark_nonblocking;12;1.258850;1.394685;4.173040
build/stencil_mpi/mpi_benchmark_nonblocking;16;1.355886;1.760316;3.371000
build/stencil_mpi/mpi_benchmark_nonblocking;20;0.578165;0.926574;2.913952
build/stencil_mpi/mpi_benchmark_nonblocking;24;0.467062;0.556898;2.321005
build/stencil_mpi/mpi_benchmark_nonblocking;32;0.443935;0.514150;1.770973
build/stencil_mpi/mpi_benchmark_nonblocking;36;0.294209;0.408355;1.576900
build/stencil_mpi/mpi_benchmark_nonblocking;40;0.271797;0.356491;1.425028
build/stencil_mpi/mpi_benchmark_nonblocking;48;0.230074;0.323812;1.199007
build/stencil_mpi/mpi_benchmark_onesided_fence;1;14.708996;22.705126;56.360960
build/stencil_mpi/mpi_benchmark_onesided_fence;2;6.552935;8.238061;30.474901
build/stencil_mpi/mpi_benchmark_onesided_fence;4;3.229141;4.096413;15.425205
build/stencil_mpi/mpi_benchmark_onesided_fence;8;1.463890;2.034998;6.169081
build/stencil_mpi/mpi_benchmark_onesided_fence;10;1.273870;1.436766;5.078077
build/stencil_mpi/mpi_benchmark_onesided_fence;12;1.397848;1.712108;4.231930
build/stencil_mpi/mpi_benchmark_onesided_fence;16;0.715971;0.967813;6.942987
build/stencil_mpi/mpi_benchmark_onesided_fence;20;0.846148;0.974186;2.882004
build/stencil_mpi/mpi_benchmark_onesided_fence;24;0.505924;0.614381;2.626181
build/stencil_mpi/mpi_benchmark_onesided_fence;32;0.344992;0.421405;1.792908
build/stencil_mpi/mpi_benchmark_onesided_fence;36;0.301123;0.373109;1.731873
build/stencil_mpi/mpi_benchmark_onesided_fence;40;0.323057;0.451461;2.791882
build/stencil_mpi/mpi_benchmark_onesided_fence;48;0.236034;0.369612;2.448082
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;14.841080;22.828484;55.629015
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;6.521940;8.250197;30.879974
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;3.201008;4.063876;15.320778
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;1.941919;2.127043;6.189108
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;1.255989;1.428946;5.089045
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;1.855850;1.979764;4.330158
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;1.029015;1.136382;3.175020
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;0.598907;0.875934;2.651930
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;0.496149;0.756160;4.806995
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;0.361919;0.432976;1.732111
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;0.308037;0.389059;2.282143
build/stencil_mpi/mpi_benchmark_onesided_pscw;40;0.285149;0.797677;2.907038
build/stencil_mpi/mpi_benchmark_onesided_pscw;48;0.257969;0.607459;1.247883

rows;2000
cols;2000
its;10
algorithm;P;min;avg;max
build/stencil_sequential/sequential_benchmark_tmp_matrix;1;164.439941;169.250293;169.940918
build/stencil_sequential/sequential_benchmark_one_vector;1;152.392090;152.668408;155.029785
build/stencil_mpi/mpi_benchmark_sendrecv;1;151.179075;160.651040;192.350149
build/stencil_mpi/mpi_benchmark_sendrecv;2;68.152189;71.552666;94.768047
build/stencil_mpi/mpi_benchmark_sendrecv;4;33.325911;37.267152;50.173998
build/stencil_mpi/mpi_benchmark_sendrecv;8;20.347118;24.232157;37.786007
build/stencil_mpi/mpi_benchmark_sendrecv;10;14.495134;18.216793;32.086849
build/stencil_mpi/mpi_benchmark_sendrecv;12;11.319876;15.731557;29.889107
build/stencil_mpi/mpi_benchmark_sendrecv;16;8.604050;14.463830;32.166004
build/stencil_mpi/mpi_benchmark_sendrecv;20;5.946159;12.126923;31.355858
build/stencil_mpi/mpi_benchmark_sendrecv;24;5.204916;11.719982;35.390854
build/stencil_mpi/mpi_benchmark_sendrecv;32;4.018068;8.939560;24.545908
build/stencil_mpi/mpi_benchmark_sendrecv;36;3.611803;8.848166;25.969982
build/stencil_mpi/mpi_benchmark_sendrecv;40;3.288031;6.739521;20.938873
build/stencil_mpi/mpi_benchmark_sendrecv;48;24.845839;44.478210;156.797886
build/stencil_mpi/mpi_benchmark_nonblocking;1;150.588036;160.868311;193.551064
build/stencil_mpi/mpi_benchmark_nonblocking;2;67.311049;70.740032;91.883898
build/stencil_mpi/mpi_benchmark_nonblocking;4;33.167124;37.219532;49.979925
build/stencil_mpi/mpi_benchmark_nonblocking;8;15.855074;20.923845;35.521030
build/stencil_mpi/mpi_benchmark_nonblocking;10;13.134003;17.196576;31.352997
build/stencil_mpi/mpi_benchmark_nonblocking;12;13.120174;16.189718;27.333021
build/stencil_mpi/mpi_benchmark_nonblocking;16;8.630037;15.744082;30.400038
build/stencil_mpi/mpi_benchmark_nonblocking;20;7.318974;11.278756;22.504091
build/stencil_mpi/mpi_benchmark_nonblocking;24;4.872084;11.199514;28.669834
build/stencil_mpi/mpi_benchmark_nonblocking;32;3.896952;7.260187;21.331072
build/stencil_mpi/mpi_benchmark_nonblocking;36;3.264904;8.913239;29.220819
build/stencil_mpi/mpi_benchmark_nonblocking;40;3.304005;11.458286;28.771877
build/stencil_mpi/mpi_benchmark_nonblocking;48;2.568007;9.280562;25.336981
build/stencil_mpi/mpi_benchmark_onesided_fence;1;150.582075;160.055017;193.109989
build/stencil_mpi/mpi_benchmark_onesided_fence;2;67.650080;70.986589;93.536854
build/stencil_mpi/mpi_benchmark_onesided_fence;4;33.451080;39.962196;56.329966
build/stencil_mpi/mpi_benchmark_onesided_fence;8;20.760059;31.261738;44.492006
